Bill. Date,Purchase Order,Material, Unit price,Tons Invoiced
2020-05-15,69000520,61092,5.54,117.850208
2020-05-20,69000519,61670,6.05,9.4738672
2020-05-20,69000519,61580,6.05,9.8929376
2020-05-20,69000519,61276,6.05,19.23964
2020-05-20,69000519,61283,6.05,20.8053664
2020-05-20,69000519,61293,7.9,16.7388708
2020-05-20,69000519,61045,7.9,16.4946274
2020-05-19,69000518,61591,5.83,94.4103552
2020-05-19,69000518,62060,5.83,2.7165152
2020-05-19,69000518,61592,5.83,8.4437136
2020-05-19,69000518,61591,5.83,18.3634304
2020-05-19,69000518,61580,5.83,4.9849856
2020-05-19,69000518,62060,5.83,13.2837264
2020-05-19,69000518,61592,5.83,14.0946848
2020-05-19,69000518,61316,8.37,38.3366277
2020-05-19,69000518,61320,8.37,38.4062763
2020-05-19,69000518,61591,5.83,20.764128
2020-05-19,69000518,61580,5.83,22.3822256
2020-05-19,69000518,62060,5.83,23.9214528
2020-05-19,69000518,61592,5.83,42.2552032
2020-05-19,69000518,61591,5.83,2.3305632
2020-05-19,69000518,61580,5.83,64.3794704
2020-05-19,69000518,62060,5.83,21.0996688
2020-05-19,69000518,61592,5.83,19.8277856
2020-06-05,69000518,61316,8.37,4.7918108
2020-06-05,69000518,61592,5.83,2.885344
2020-06-05,69000518,61320,8.37,10.974243
2020-05-29,69000518,61591,5.83,23.151296
2020-05-29,69000518,61592,5.83,19.7560496
2020-05-29,69000518,62060,5.83,16.053576
2020-04-02,69000517,60769,602.39,65.89
2020-04-02,69000517,61114,602.39,59.991
2020-04-02,69000517,60770,602.39,39.555
2020-04-02,69000517,60971,602.39,41.124
2020-04-02,69000517,60972,602.39,16.998
2020-04-02,69000517,61778,535.6,35.271
2020-04-02,69000517,61779,535.6,52.048
2020-04-02,69000517,61780,535.6,57.609
2020-04-02,69000517,61652,535.6,63.217
2020-04-02,69000517,61653,535.6,100.686
2020-04-02,69000517,61784,535.6,45.637
2020-04-02,69000517,61785,535.6,20.368
2020-02-11,69000516,60769,602.39,50.63
2020-02-11,69000516,61114,602.39,50.931
2020-02-11,69000516,61778,535.6,40.04
2020-02-11,69000516,61779,535.6,38.099
2020-02-11,69000516,61652,535.6,38.484
2020-02-11,69000516,61653,535.6,48.44
2020-02-11,69000516,61781,535.6,24.126
2020-02-11,69000516,61782,535.6,46.618
2020-02-11,69000516,61783,535.6,2.704
2020-02-11,69000516,61784,535.6,53.75
2020-02-11,69000516,61785,535.6,60.732
2020-02-11,69000516,60765,726.03,20.327
2020-02-11,69000516,61410,726.03,16.778
2020-02-11,69000516,60976,726.03,20.333
2020-02-11,69000516,37335,726.03,10.652
2020-02-11,69000516,60977,726.03,16.345
2020-02-24,69000516,61783,535.6,17.713
2020-01-20,69000515,61580,5.75,37.6900832
2020-01-20,69000515,61316,8.26,82.3591636
2020-01-20,69000515,61320,8.26,82.8749593
2020-06-29,68000546,61055,19.85,21.106995
2020-06-29,68000546,61055,19.85,2.621892
2020-06-22,68000546,61276,5.75,17.847088
2020-06-22,68000546,61055,19.85,2.643186
2020-06-30,68000543,61505,9.81,18.79683
2020-06-30,68000543,61505,9.81,28.29762
2020-06-30,68000543,61341,9.81,10.17744
2020-06-30,68000542,62052,5.52,57.615648
2020-06-30,68000542,61914,5.52,17.58224
2020-06-30,68000542,61215,13.61,27.770074
2020-06-30,68000542,61216,13.61,16.344392
2020-06-30,68000542,61914,5.52,35.36136
2020-06-30,68000542,61502,13.61,26.685748
2020-06-30,68000542,61512,13.61,46.272704
2020-06-30,68000542,61215,13.61,12.312904
2020-06-30,68000542,62052,5.52,69.866827
2020-06-30,68000542,61914,5.52,17.512476
2020-06-30,68000542,61502,13.61,2.658618
2020-06-30,68000542,61215,13.61,30.963616
2020-06-30,68000542,61216,13.61,16.388842
2020-06-30,68000542,62052,5.52,19.361436
2020-06-30,68000542,61914,5.52,35.034903
2020-06-30,68000542,61215,13.61,12.473178
2020-06-30,68000542,61216,13.61,52.395628
2020-06-08,68000541,61566,9.29,21.62502
2020-06-08,68000541,61183,9.29,12.49466
2020-06-08,68000541,61016,9.29,44.15546
2020-06-08,68000541,61055,19.85,8.175804
2020-06-08,68000541,61566,9.29,37.2096
2020-06-08,68000541,61014,9.29,22.35755
2020-06-08,68000541,61183,9.29,18.12574
