Material,Purchase Order,Posting Date,Tons Received
61136,68000481,2020-01-03,30.981142
61313,68000485,2020-01-03,12.816083
61313,68000485,2020-01-03,34.400226
61316,68000474,2020-01-03,14.293258
61345,68000481,2020-01-03,16.593312
61505,68000474,2020-01-03,4.504695
61508,68000481,2020-01-03,16.781018
61092,68000487,2020-01-07,216.255312
61092,68000487,2020-01-07,4.656848
61016,68000480,2020-01-08,13.27224
61031,68000471,2020-01-08,276.025386
61045,68000490,2020-01-08,49.789066
61046,68000490,2020-01-08,32.289652
61046,68000490,2020-01-08,7.895096
61047,68000480,2020-01-08,98.252895
61047,68000490,2020-01-08,2.33571
61047,68000480,2020-01-08,18.260775
61047,68000480,2020-01-08,34.519095
61053,68000490,2020-01-08,9.7699
61055,68000490,2020-01-08,18.552807
61055,68000490,2020-01-08,34.490547
61115,68000471,2020-01-08,13.021691
61115,68000480,2020-01-08,12.874498
61139,68000490,2020-01-08,8.2467
61183,68000480,2020-01-08,5.86772
61216,68000473,2020-01-08,214.649304
61225,68000471,2020-01-08,36.124725
61233,68000471,2020-01-08,54.803385
61263,68000482,2020-01-08,34.86265
61276,68000490,2020-01-08,32.584272
61283,68000490,2020-01-08,35.420112
61293,68000490,2020-01-08,42.324378
61341,68000480,2020-01-08,2.43672
61344,68000480,2020-01-08,2.641275
61344,68000480,2020-01-08,2.676375
61440,68000480,2020-01-08,19.851
61440,68000480,2020-01-08,8.61822
61492,68000480,2020-01-08,21.016595
61492,68000471,2020-01-08,6.083554
61514,68000473,2020-01-08,39.739377
61541,68000480,2020-01-08,14.099921
61580,68000490,2020-01-08,27.715856
61610,68000480,2020-01-08,4.976876
61640,68000490,2020-01-08,25.711622
61670,68000490,2020-01-08,19.799584
61862,68000490,2020-01-08,101.473557
61862,68000490,2020-01-08,23.2725
61891,68000490,2020-01-08,20.138684
61912,68000482,2020-01-08,4.599823
61913,68000482,2020-01-08,7.47074
61913,68000482,2020-01-08,5.037239
61940,68000490,2020-01-08,11.571194
61940,68000490,2020-01-08,71.272486
61941,68000490,2020-01-08,55.948053
61991,68000480,2020-01-08,1.092
62052,68000482,2020-01-08,5.249741
60230,68000488,2020-01-09,15.307929
60796,68000488,2020-01-09,2.5648
60796,68000488,2020-01-09,10.164875
60796,68000488,2020-01-09,7.590275
61083,68000478,2020-01-09,3.012149
61083,68000478,2020-01-09,3.057229
61084,68000488,2020-01-09,190.002701
61085,68000488,2020-01-09,209.86875
61085,68000488,2020-01-09,17.434635
61085,68000487,2020-01-09,17.325985
61089,68000488,2020-01-09,117.452244
61089,68000478,2020-01-09,76.77852
61089,68000488,2020-01-09,161.131152
61089,68000478,2020-01-09,453.206481
61090,68000488,2020-01-09,79.156623
61090,68000488,2020-01-09,63.19677
61090,68000478,2020-01-09,62.810475
61090,68000478,2020-01-09,42.100422
61092,68000478,2020-01-09,2.39008
61092,68000488,2020-01-09,2.427488
61092,68000488,2020-01-09,294.093296
61093,68000488,2020-01-09,288.23312
61093,68000488,2020-01-09,5.173504
61094,68000488,2020-01-09,125.012153
61094,68000478,2020-01-09,2.385537
61095,68000488,2020-01-09,20.477268
61095,68000488,2020-01-09,13.377973
61095,68000488,2020-01-09,4.983272
61096,68000478,2020-01-09,2.561125
61097,68000488,2020-01-09,8.171975
61097,68000488,2020-01-09,2.7139
61099,68000488,2020-01-09,104.016948
61101,68000488,2020-01-09,52.103625
61102,68000488,2020-01-09,26.146575
61136,68000491,2020-01-09,15.153894
61139,68000491,2020-01-09,24.66555
61140,68000491,2020-01-09,16.015125
61313,68000485,2020-01-09,12.816083
61341,68000479,2020-01-09,2.44257
61341,68000479,2020-01-09,4.858815
61341,68000479,2020-01-09,9.70983
61341,68000485,2020-01-09,37.05351
61341,68000483,2020-01-09,11.99445
61341,68000483,2020-01-09,4.774185
61350,68000491,2020-01-09,22.487325
61440,68000479,2020-01-09,14.16597
61440,68000479,2020-01-09,36.67326
61440,68000479,2020-01-09,11.25423
61505,68000485,2020-01-09,19.48089
61505,68000483,2020-01-09,46.567755
61505,68000483,2020-01-09,17.83782
61505,68000483,2020-01-09,13.387335
61507,68000485,2020-01-09,61.82436
61508,68000491,2020-01-09,21.234781
61509,68000491,2020-01-09,4.6046
61561,68000496,2020-01-09,15.81265
61930,68000488,2020-01-09,19.096504
61930,68000488,2020-01-09,37.447004
61930,68000488,2020-01-09,13.364514
61930,68000488,2020-01-09,37.655012
61931,68000488,2020-01-09,37.623768
61931,68000488,2020-01-09,5.859855
61931,68000488,2020-01-09,17.718558
61931,68000488,2020-01-09,17.619369
62020,68000478,2020-01-09,283.827215
62020,68000488,2020-01-09,210.71827
62051,68000483,2020-01-09,7.64205
62051,68000483,2020-01-09,7.683195
62051,68000483,2020-01-09,25.52823
62051,68000485,2020-01-09,5.2104
62052,68000482,2020-01-09,335.483413
60463,68000486,2020-01-10,54.288944
61001,68000486,2020-01-10,56.072597
61001,68000486,2020-01-10,180.673073
61085,68000487,2020-01-10,175.234615
61085,68000487,2020-01-10,17.325985
61094,68000487,2020-01-10,87.149944
61094,68000487,2020-01-10,37.504789
61102,68000487,2020-01-10,8.588853
61102,68000487,2020-01-10,17.352153
61216,68000486,2020-01-10,58.169556
61216,68000486,2020-01-10,79.65186
61216,68000486,2020-01-10,16.965168
61417,68000486,2020-01-10,19.050947
61500,68000486,2020-01-10,85.973034
61500,68000486,2020-01-10,160.918212
61502,68000486,2020-01-10,127.440182
61512,68000486,2020-01-10,167.599614
61913,68000482,2020-01-13,7.47074
61913,68000482,2020-01-13,5.037239
61016,68000493,2020-01-14,19.29772
61031,68000493,2020-01-14,58.335459
61041,68000493,2020-01-14,148.030974
61045,68000493,2020-01-14,35.622102
61046,68000494,2020-01-14,19.269518
61136,68000491,2020-01-14,5.078476
61225,68000493,2020-01-14,52.468689
61233,68000493,2020-01-14,78.989001
61293,68000493,2020-01-14,53.796182
61313,68000492,2020-01-14,4.525388
61316,68000474,2020-01-14,2.381512
61341,68000483,2020-01-14,4.87344
61500,68000492,2020-01-14,4.525388
61502,68000495,2020-01-14,36.927536
61505,68000483,2020-01-14,2.31114
61505,68000492,2020-01-14,2.22066
61509,68000491,2020-01-14,13.830425
61640,68000493,2020-01-14,30.144036
61640,68000494,2020-01-14,11.802348
62050,68000485,2020-01-14,2.453318
61183,68000468,2020-01-16,2.90258
61183,68000471,2020-01-16,38.84619
61225,68000480,2020-01-16,5.696964
61940,68000468,2020-01-16,2.915643
60133,68000489,2020-01-17,49.107
60136,68000489,2020-01-17,54.359
60136,68000489,2020-01-17,19.178
60205,68000489,2020-01-17,49.069
60720,68000489,2020-01-17,50.078
60811,68000489,2020-01-17,11.62
60811,68000489,2020-01-17,116.083
61031,68000480,2020-01-17,21.408933
61047,68000490,2020-01-17,276.680625
61140,68000481,2020-01-17,2.92565
61440,68000490,2020-01-17,16.847025
61912,68000486,2020-01-17,6.42
61912,68000486,2020-01-17,273.125097
61912,68000486,2020-01-17,225.37945
61913,68000486,2020-01-17,263.38585
61914,68000486,2020-01-17,171.871104
61914,68000486,2020-01-17,2.863962
61980,68000489,2020-01-17,43.196
62052,68000486,2020-01-17,207.357868
61316,69000515,2020-01-20,82.3591636
61320,69000515,2020-01-20,82.8749593
61580,69000515,2020-01-20,37.6900832
61014,68000493,2020-01-20,21.879
61014,68000493,2020-01-20,16.7994
61016,68000493,2020-01-20,48.71129
61016,68000493,2020-01-20,19.47299
61016,68000493,2020-01-20,25.92653
61016,68000493,2020-01-20,22.74328
61016,68000494,2020-01-20,9.66603
61016,68000494,2020-01-20,22.7222
61031,68000496,2020-01-20,247.968903
61031,68000496,2020-01-20,49.080486
61041,68000496,2020-01-20,52.403715
61041,68000496,2020-01-20,66.526551
61045,68000493,2020-01-20,5.173948
61045,68000493,2020-01-20,7.887504
61045,68000493,2020-01-20,5.173948
61046,68000494,2020-01-20,5.659252
61046,68000496,2020-01-20,66.48767
61046,68000490,2020-01-20,5.191176
61046,68000494,2020-01-20,2.801448
61046,68000490,2020-01-20,5.191176
61047,68000490,2020-01-20,2.294175
61047,68000480,2020-01-20,2.25771
61055,68000490,2020-01-20,2.682498
61055,68000490,2020-01-20,13.187538
61055,68000490,2020-01-20,13.950846
61130,68000486,2020-01-20,193.311734
61183,68000493,2020-01-20,21.32157
61183,68000493,2020-01-20,3.04453
61183,68000493,2020-01-20,23.868
61233,68000496,2020-01-20,83.615532
61264,68000486,2020-01-20,21.660338
61417,68000486,2020-01-20,16.244748
61564,68000493,2020-01-20,16.462992
61564,68000493,2020-01-20,39.401544
61564,68000493,2020-01-20,32.939361
61566,68000493,2020-01-20,7.8268
61566,68000493,2020-01-20,18.4382
61566,68000493,2020-01-20,38.777
61566,68000480,2020-01-20,2.6707
61640,68000494,2020-01-20,4.728648
61313,68000492,2020-01-21,11.272737
61313,68000492,2020-01-21,4.546157
61500,68000492,2020-01-21,10.427326
61500,68000492,2020-01-21,89.189814
61502,68000492,2020-01-21,37.022786
61505,68000492,2020-01-21,18.31791
61047,68000493,2020-01-22,39.122655
61341,68000493,2020-01-22,21.730605
61344,68000493,2020-01-22,10.642125
61440,68000493,2020-01-22,155.19972
61561,68000493,2020-01-22,7.86415
61561,68000493,2020-01-22,15.58515
61561,68000496,2020-01-22,7.994525
61564,68000493,2020-01-22,16.352973
53265,68000499,2020-01-23,51.489
60136,68000499,2020-01-23,125.676
61016,68000494,2020-01-23,28.98993
61045,68000496,2020-01-23,27.167972
61046,68000496,2020-01-23,5.422732
61047,68000496,2020-01-23,379.39551
61047,68000480,2020-01-23,11.518065
